loss setting:0.0,key,produce time,receive time client 1,receive time client 2,receive time client 3
,1554671861.51471,1554671861.77104,1554671863.6955,1554671861.77951,1554671862.52757
,1554671861.77119,1554671861.80343,1554671863.69577,1554671861.81168,1554671862.52766
,1554671861.80356,1554671861.83526,1554671863.69591,1554671861.84967,1554671862.52779
loss setting:0.8,,,,,
,1554671897.38279,1554671897.41476,1554671897.70535,1554671897.58539,1554671897.43074
,1554671897.41492,1554671897.44661,1554671897.70561,1554671897.58564,1554671897.52764
,1554671897.44669,1554671897.86404,1554671898.17833,1554671900.57292,1554671898.62038
,1554671897.86419,1554671897.89597,1554671898.17858,1554671900.57318,1554671898.62066
,1554671897.89606,1554671898.20094,1554671898.60072,1554671900.5733,1554671898.62078
,1554671898.2011,1554671898.73966,1554671898.73441,1554671900.57343,1554671898.73892
,1554671898.73981,1554671899.70188,1554671899.69655,1554671900.57353,1554671899.7012
,1554671899.70203,1554671900.30771,1554671900.30253,1554671900.57362,1554671900.3069
,1554671900.30786,1554671900.77893,1554671902.72749,1554671901.48616,1554671901.62028
,1554671900.77908,1554671900.81105,1554671902.72774,1554671901.48643,1554671901.62053
,1554671900.8112,1554671900.84315,1554671902.72787,1554671901.48655,1554671901.62065
,1554671900.84328,1554671900.87849,1554671902.72798,1554671901.48665,1554671901.62076
,1554671900.8786,1554671900.91052,1554671902.72808,1554671901.48676,1554671901.62085
,1554671900.91064,1554671900.94258,1554671902.72818,1554671901.48685,1554671901.62095
,1554671900.94271,1554671900.9754,1554671902.72831,1554671901.48695,1554671901.62104
,1554671900.97552,1554671901.02126,1554671902.72841,1554671901.48703,1554671901.62113
,1554671901.02141,1554671901.05526,1554671902.72851,1554671901.48711,1554671901.62122
,1554671901.05542,1554671901.08734,1554671902.7286,1554671901.48721,1554671901.62132
,1554671901.08749,1554671901.11949,1554671902.7287,1554671901.4873,1554671901.62142
,1554671901.11962,1554671901.15156,1554671902.72879,1554671901.4874,1554671901.62151
,1554671901.15167,1554671901.18373,1554671902.7289,1554671901.48749,1554671901.6216
,1554671901.18387,1554671901.21579,1554671902.72899,1554671901.48758,1554671901.62169
,1554671901.21592,1554671901.24791,1554671902.72908,1554671901.48767,1554671901.62179
,1554671901.24804,1554671901.29288,1554671902.72918,1554671901.48776,1554671901.62188
,1554671901.29303,1554671901.32495,1554671902.72927,1554671901.48784,1554671901.62197
,1554671901.32509,1554671901.35696,1554671902.72937,1554671901.48795,1554671901.62206
,1554671901.35709,1554671901.38902,1554671902.72946,1554671901.48804,1554671901.62215
,1554671901.38916,1554671901.42091,1554671902.72956,1554671901.48813,1554671901.62227
,1554671901.42103,1554671901.4529,1554671902.72965,1554671901.48823,1554671901.62236
,1554671901.45301,1554671901.48491,1554671902.72974,1554671901.48832,1554671901.62246
,1554671901.48504,1554671901.51674,1554671902.72984,1554671901.52523,1554671901.62255
,1554671901.51688,1554671901.54875,1554671902.72993,1554671901.56678,1554671901.62264
,1554671901.54888,1554671901.58068,1554671902.73003,1554671901.59831,1554671901.62273
,1554671901.58079,1554671901.62551,1554671902.73013,1554671901.63671,1554671901.65161
,1554671901.62568,1554671901.65733,1554671902.73024,1554671901.66803,1554671901.68303
,1554671901.65745,1554671901.68915,1554671902.73034,1554671901.69952,1554671901.71462
,1554671901.68924,1554671901.72098,1554671902.73043,1554671901.73097,1554671901.74587
,1554671901.72111,1554671901.75282,1554671902.73053,1554671901.76235,1554671901.77706
,1554671901.75292,1554671901.78456,1554671902.73063,1554671901.79377,1554671901.80832
,1554671901.7847,1554671901.81641,1554671902.73073,1554671901.82508,1554671901.83971
,1554671901.81655,1554671901.84823,1554671902.73082,1554671901.85648,1554671901.87097
,1554671901.84837,1554671901.88005,1554671902.73091,1554671901.88782,1554671901.90696
,1554671901.88018,1554671901.91188,1554671902.73101,1554671901.91921,1554671901.94253
,1554671901.91201,1554671901.95848,1554671902.7311,1554671901.95105,1554671901.97443
,1554671901.95861,1554671901.99042,1554671902.7312,1554671901.98309,1554671902.00642
,1554671901.99056,1554671902.02235,1554671902.73129,1554671902.01505,1554671902.03843
,1554671902.0225,1554671902.05434,1554671902.73139,1554671902.04701,1554671902.0704
,1554671902.05449,1554671902.08624,1554671902.73149,1554671902.07909,1554671902.10245
,1554671902.08637,1554671902.11835,1554671902.73159,1554671902.111,1554671902.21677
,1554671902.11849,1554671902.15035,1554671902.73169,1554671902.16486,1554671902.2482
loss setting:1.0,,,,,
,1554671918.40959,1554671918.44973,1554671920.73072,1554671918.58613,1554671919.26575
,1554671918.44994,1554671918.48181,1554671920.731,1554671918.5864,1554671919.266
,1554671918.48195,1554671918.74217,1554671920.73112,1554671919.2895,1554671919.26613
,1554671918.74233,1554671918.77419,1554671920.73124,1554671919.28976,1554671919.26627
,1554671918.77429,1554671918.80644,1554671920.73134,1554671919.28988,1554671919.26638
,1554671918.80658,1554671919.1381,1554671920.73145,1554671919.28999,1554671919.26649
,1554671919.13826,1554671919.17018,1554671920.73155,1554671919.29009,1554671919.26658
,1554671919.17031,1554671919.30719,1554671920.73165,1554671919.32097,1554671919.31342
,1554671919.30743,1554671919.33911,1554671920.73177,1554671919.36986,1554671919.35785
,1554671919.3392,1554671919.37354,1554671920.73187,1554671919.3701,1554671919.38988
,1554671919.37368,1554671919.40571,1554671920.73196,1554671919.40128,1554671919.42175
,1554671919.40583,1554671919.43757,1554671920.73206,1554671919.43261,1554671919.45347
,1554671919.43771,1554671919.4693,1554671920.73215,1554671919.46391,1554671919.49041
,1554671919.46942,1554671919.50636,1554671920.73229,1554671919.4978,1554671919.52253
,1554671919.50651,1554671919.53848,1554671920.73238,1554671919.52989,1554671919.56206
,1554671919.53863,1554671919.57815,1554671920.73247,1554671919.56954,1554671919.62514
,1554671919.57831,1554671919.61021,1554671920.73257,1554671919.60161,1554671919.68937
,1554671919.61036,1554671919.64233,1554671920.73266,1554671919.63373,1554671919.68962
,1554671919.64248,1554671919.67439,1554671920.73276,1554671919.66581,1554671919.76564
,1554671919.67453,1554671919.70632,1554671920.73285,1554671919.69776,1554671919.76589
,1554671919.70648,1554671920.0031,1554671920.73294,1554671920.95394,1554671920.17942
,1554671920.00325,1554671920.03556,1554671920.73304,1554671920.9542,1554671920.17967
